"brand_id","barcode","category","categorycode","cpg","name","topbrand","brandcode"
"5cdacd63166eb33eb7ce0fa8","511111004790","Condiments & Sauces",NULL,"559c2234e4b06aca36af13c6","Bitten Dressing",NULL,"BITTEN"
"5c409ab4cd244a3539b84162","511111004790","Baking",NULL,"55b62995e4b0d8e685c14213","alexa","1","ALEXA"
"5d6027f46d5f3b23d1bc7906","511111204923","Snacks",NULL,"5332f5fbe4b03c9a25efd0ba","CHESTER'S",NULL,"CHESTERS"
"5c45f91b87ff3552f950f027","511111204923","Grocery",NULL,"5c45f8b087ff3552f950f026","Brand1","1","0987654321"
"5c4699f387ff3577e203ea29","511111305125","Baby",NULL,"55b62995e4b0d8e685c14213","Chris Image Test",NULL,"CHRISIMAGE"
"5d642d65a3a018514994f42d","511111305125","Magazines",NULL,"5d5d4fd16d5f3b23d1bc7905","Rachael Ray Everyday",NULL,"511111305125"
"5a8c33f3e4b07f0a2dac8943","511111504139","Grocery",NULL,"5a734034e4b0d58f376be874","Pace","0","PACE"
"5a7e0604e4b0aedb3b84afd3","511111504139","Beverages",NULL,"55b62995e4b0d8e685c14213","Chris Brand XYZ",NULL,"CHRISXYZ"
"5ccb2ece166eb31bbbadccbe","511111504788","Condiments & Sauces",NULL,"559c2234e4b06aca36af13c6","The Pioneer Woman",NULL,"PIONEER WOMAN"
"5c408e8bcd244a1fdb47aee7","511111504788","Baking",NULL,"59ba6f1ce4b092b29c167346","test",NULL,"TEST"
"5c4637ba87ff35681e840d57","511111605058","Dairy",NULL,"5c45f8b087ff3552f950f026","Brand2","1","09090909090"
"5d6415d5a3a018514994f429","511111605058","Magazines",NULL,"5d5d4fd16d5f3b23d1bc7905","Health Magazine",NULL,"511111605058"
"5a8c344ae4b0ccf165fac9e5","511111704140","Condiments & Sauces",NULL,"5a734034e4b0d58f376be874","Prego","0","PREGO"
"5a7e0665e4b0aedb3b84afd4","511111704140",NULL,NULL,"55b62995e4b0d8e685c14213","Diet Chris Cola",NULL,"DIETCHRIS2"
